Date,Open,High,Low,Close,Volume,Adj Close
2010-05-04,3019.45,3036.39,2714.72,2773.26,000,2773.26
2010-04-01,3391.94,3407.35,3060.06,3067.36,000,3067.36
2010-03-01,3324.42,3366.71,3183.18,3345.61,000,3345.61
2010-02-01,3152.71,3292.13,3146.19,3281.67,000,3281.67
2010-01-04,3535.23,3564.04,3198.57,3204.16,000,3204.16
2009-12-01,3560.83,3668.83,3305.54,3575.68,000,3575.68
2009-11-02,3392.80,3665.51,3382.51,3511.67,000,3511.67
2009-10-01,3004.80,3414.24,3004.80,3280.37,000,3280.37
2009-09-01,2843.70,3320.10,2843.70,3004.80,000,3004.80
2009-08-03,3787.03,3787.03,2830.27,2830.27,000,2830.27
2009-07-01,3237.90,3755.82,3237.90,3734.62,000,3734.62
2009-06-01,2858.34,3179.97,2858.34,3166.47,000,3166.47
2009-05-01,2622.93,2840.08,2622.93,2759.71,000,2759.71
2009-04-01,2548.22,2707.67,2479.35,2622.93,000,2622.93
2009-03-02,2164.67,2507.79,2142.15,2507.79,000,2507.79
2009-02-02,2057.06,2462.25,2057.06,2140.49,000,2140.49
2009-01-05,1882.96,2044.55,1876.19,2032.68,000,2032.68
2008-12-01,1864.20,2096.39,1817.72,1817.72,000,1817.72
2008-11-03,1653.54,1987.22,1627.76,1829.92,000,1829.92
2008-10-06,2128.70,2128.70,1654.67,1663.66,000,1663.66
2008-09-01,2309.17,2309.17,1895.99,2243.66,000,2243.66
2008-08-01,2840.79,2840.79,2313.40,2391.64,000,2391.64
2008-07-01,2698.35,3015.13,2698.35,2805.21,000,2805.21
2008-06-02,3625.83,3625.83,2773.08,2791.82,000,2791.82
2008-05-01,3959.12,4055.78,3559.22,3611.33,000,3611.33
2008-04-01,3582.85,3959.12,3267.55,3959.12,000,3959.12
2008-03-03,4790.74,4790.74,3748.92,3790.53,000,3790.53
2008-02-01,4571.94,5020.75,4515.53,4674.55,000,4674.55
2008-01-01,5338.27,5731.76,4620.40,4620.40,000,4620.40
2007-12-03,4772.67,5367.53,4772.67,5338.27,000,5338.27
2007-11-01,5605.23,5605.23,4648.75,4737.41,000,4737.41
2007-10-01,5580.81,5877.20,5333.79,5688.54,000,5688.54
2007-09-03,5419.17,5580.81,5124.09,5580.81,000,5580.81
2007-08-01,4290.48,5296.81,4290.48,5296.81,000,5296.81
2007-07-02,3757.66,4460.56,3537.44,4460.56,000,4460.56
2007-06-01,3803.95,4253.00,3511.43,3764.08,000,3764.08
2007-05-08,3686.03,4168.29,3604.64,3927.95,000,3927.95
2007-04-02,2850.11,3558.71,2850.11,3558.71,000,3558.71
2007-03-01,2473.54,2797.65,2473.54,2781.78,000,2781.78
2007-02-01,2395.17,2707.68,2271.80,2544.57,000,2544.57
2007-01-04,2067.09,2576.92,2067.09,2385.33,000,2385.33
