Date,CSI300,S&P500
1/15/08,5696.45,1416.25
1/16/08,5505.72,1380.949951
1/17/08,5365.62,1373.199951
1/18/08,5414.47,1333.25
1/21/08,5145.73,1325.189941
1/22/08,4753.87,1310.5
1/23/08,4975.11,1338.599976
1/24/08,5027.21,1352.069946
1/25/08,5077.43,1330.609985
1/28/08,4731.88,1353.959961
1/29/08,4762.08,1362.300049
1/30/08,4710.65,1355.810059
1/31/08,4620.4,1378.550049
2/1/08,4571.94,1395.420044
2/4/08,4950.12,1380.819946
2/5/08,4921.83,1336.640015
2/6/08,4921.83,1326.449951
2/7/08,4921.83,1336.910034
2/8/08,4921.83,1331.290039
2/11/08,4921.83,1339.130005
2/12/08,4921.83,1348.859985
2/13/08,4816.08,1367.209961
2/14/08,4880.25,1348.859985
2/15/08,4813.31,1349.98999
2/18/08,4910.99,1348.780029
2/19/08,5020.75,1360.030029
2/20/08,4908.72,1342.530029
2/21/08,4876.03,1353.109985
2/22/08,4702.24,1371.800049
2/25/08,4519.78,1381.290039
2/26/08,4515.53,1380.02002
2/27/08,4639.77,1367.680054
2/28/08,4622.06,1330.630005
2/29/08,4674.55,1331.339966
3/3/08,4790.74,1326.75
3/4/08,4671.15,1333.699951
3/5/08,4628.72,1304.339966
3/6/08,4685.03,1293.369995
3/7/08,4621.69,1273.369995
3/10/08,4431.59,1320.650024
3/11/08,4441.18,1308.77002
3/12/08,4309.65,1315.47998
3/13/08,4198.96,1288.140015
3/14/08,4157.87,1276.599976
3/17/08,3965.28,1330.73999
3/18/08,3763.95,1298.420044
3/19/08,3888.86,1329.51001
3/20/08,4001.83,1349.880005
3/21/08,4037.83,1352.98999
3/24/08,3857.09,1341.130005
3/25/08,3905.77,1325.76001
3/26/08,3914.37,1315.219971
3/27/08,3748.92,1322.699951
3/28/08,3918.16,1370.180054
3/31/08,3790.53,1367.530029
4/1/08,3582.85,1369.310059
4/2/08,3547.98,1370.400024
4/3/08,3650.7,1372.540039
4/4/08,3650.7,1365.540039
4/7/08,3845.82,1354.48999
4/8/08,3891.06,1360.550049
4/9/08,3688.12,1332.829956
4/10/08,3754.72,1328.319946
4/11/08,3783.73,1334.430054
4/14/08,3536.33,1364.709961
4/15/08,3583.3,1365.560059
4/16/08,3494.02,1390.329956
4/17/08,3386.63,1388.170044
4/18/08,3272.5,1375.939941
4/21/08,3267.55,1379.930054
4/22/08,3296.28,1388.819946
4/23/08,3453.73,1397.839966
4/24/08,3774.5,1396.369995
4/25/08,3803.07,1390.939941
4/28/08,3729.15,1385.589966
4/29/08,3776.94,1409.339966
4/30/08,3959.12,1413.900024
5/1/08,3959.12,1407.48999
5/2/08,3959.12,1418.26001
5/5/08,4055.78,1392.569946
5/6/08,4010.89,1397.680054
5/7/08,3821.32,1388.280029
5/8/08,3925.04,1403.579956
5/9/08,3878.92,1403.040039
5/12/08,3904.92,1408.660034
5/13/08,3851.69,1423.569946
5/14/08,3975.78,1425.349976
5/15/08,3948.09,1426.630005
5/16/08,3936.12,1413.400024
5/19/08,3914.07,1390.709961
5/20/08,3710.82,1394.349976
5/21/08,3783.05,1375.930054
5/22/08,3711.44,1385.349976
5/23/08,3675.15,1390.839966
5/26/08,3559.22,1398.26001
5/27/08,3576.2,1400.380005
5/28/08,3676.23,1385.670044
5/29/08,3580.87,1377.650024
5/30/08,3611.33,1377.199951
6/2/08,3625.83,1404.050049
6/3/08,3614.11,1360.680054
6/4/08,3546.92,1361.76001
6/5/08,3512.14,1358.439941
6/6/08,3489.5,1335.48999
6/9/08,3489.5,1339.869995
6/10/08,3206.56,1360.030029
6/11/08,3140.3,1360.140015
6/12/08,3084.63,1350.930054
6/13/08,2979.12,1337.810059
6/16/08,2952.24,1342.829956
6/17/08,2842.68,1317.930054
6/18/08,2991.27,1318
6/19/08,2773.08,1314.290039
6/20/08,2849.67,1321.969971
6/23/08,2789.94,1283.150024
6/24/08,2851.92,1278.380005
6/25/08,2969.54,1280
6/26/08,2980.91,1284.910034
6/27/08,2816.02,1261.52002
6/30/08,2791.82,1262.900024
7/1/08,2698.35,1252.310059
7/2/08,2699.6,1273.699951
7/3/08,2760.61,1244.689941
7/4/08,2741.85,1253.390015
7/7/08,2882.76,1239.48999
7/8/08,2901.84,1228.300049
7/9/08,3015.13,1214.910034
7/10/08,2973.73,1245.359985
7/11/08,2953.5,1260.319946
7/14/08,2975.87,1260.680054
7/15/08,2852.98,1260
7/16/08,2745.6,1277
7/17/08,2718.07,1282.189941
7/18/08,2815.46,1252.540039
7/21/08,2911.05,1257.76001
7/22/08,2904.74,1234.369995
7/23/08,2883.32,1263.199951
7/24/08,2977.36,1284.26001
7/25/08,2939.2,1267.380005
7/28/08,2960.85,1260.310059
7/29/08,2905.63,1249.01001
7/30/08,2884.38,1284.880005
7/31/08,2805.21,1289.189941
8/1/08,2840.79,1266.069946
8/4/08,2773.15,1296.319946
8/5/08,2703.08,1305.319946
8/6/08,2721.69,1289.589966
8/7/08,2720.44,1285.829956
8/8/08,2591.46,1292.930054
8/11/08,2456.81,1298.199951
8/12/08,2444.16,1278.599976
8/13/08,2444.67,1266.689941
8/14/08,2443.51,1274.540039
8/15/08,2447.61,1277.719971
8/18/08,2313.4,1292.199951
8/19/08,2348.47,1266.839966
8/20/08,2532.94,1271.51001
8/21/08,2443.98,1281.660034
8/22/08,2404.93,1300.680054
8/25/08,2400.55,1282.829956
8/26/08,2331.53,1277.579956
8/27/08,2325.29,1274.97998
8/28/08,2335.86,1236.829956
8/29/08,2391.64,1242.310059
